

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1], [1, -1, 1, -1], [1, 1, -1, -1], [1, -1, -1, 1]]        
------------------------------------------------------------------------------------


27/10/2024 10:11:07 ||| RECEIVER-1   ||  BIT RECEIVED : 1
27/10/2024 10:11:07 ||| RECEIVER-4   ||  BIT RECEIVED : 1

27/10/2024 10:11:07 ||| DATA : [0, 1, 0, 0, 0, 1, 0, 1]
27/10/2024 10:11:07 ||| RECEIVER-3   ||  BIT RECEIVED : 1

27/10/2024 10:11:07 ||| DATA : [0, 1, 0, 0, 0, 1, 0, 1]

27/10/2024 10:11:07 ||| DATA : [0, 1, 0, 0, 0, 1, 0, 1]

27/10/2024 10:11:07 ||| DATA : [0, 1, 0, 0, 0, 1, 0, 1]

27/10/2024 10:11:07 ||| CHAR RECEIVED : E


27/10/2024 10:11:07 ||| CHAR RECEIVED : E


27/10/2024 10:11:07 ||| CHAR RECEIVED : E


27/10/2024 10:11:07 ||| CHAR RECEIVED : E

27/10/2024 10:11:07 ||| SENDER-1     ||  DATA BIT SEND -1
27/10/2024 10:11:07 ||| SENDER-3     ||  DATA BIT SEND -1
27/10/2024 10:11:07 ||| SENDER-2     ||  DATA BIT SEND -1
27/10/2024 10:11:07 ||| CHANNEL...   ||  [-1, 1, -1, 1]
27/10/2024 10:11:08 ||| SENDER-4     ||  DATA BIT SEND -1
27/10/2024 10:11:08 ||| CHANNEL...   ||  [-1, -1, 1, 1]
27/10/2024 10:11:08 ||| CHANNEL...   ||  [-1, -1, -1, -1]
27/10/2024 10:11:08 ||| CHANNEL...   ||  [-1, 1, 1, -1]
27/10/2024 10:11:08 ||| RECEIVER-3   ||  BIT RECEIVED : 0
27/10/2024 10:11:08 ||| RECEIVER-1   ||  BIT RECEIVED : 0
27/10/2024 10:11:08 ||| RECEIVER-4   ||  BIT RECEIVED : 0
27/10/2024 10:11:08 ||| RECEIVER-2   ||  BIT RECEIVED : 0
27/10/2024 10:11:08 ||| SENDER-2     ||  DATA BIT SEND -1
27/10/2024 10:11:08 ||| CHANNEL...   ||  [-1, 1, -1, 1]
27/10/2024 10:11:08 ||| SENDER-3     ||  DATA BIT SEND -1
27/10/2024 10:11:08 ||| CHANNEL...   ||  [-1, -1, 1, 1]
